5728	烫三角贴布*2	0.16	100			中烫
5748	烫袖背圆形撞布*2	0.30	100			中烫
5785	烫介英朴、烫介英止口	0.18	100			中烫
5805	烫袋贴止口*2	0.10	100			中烫
5816	烫前贴止口*2	0.20	100			中烫
5841	烫袖背贴止口*4	0.40	100			中烫
5879	整烫下摆折	1.60	100			中烫
5885	烫袖背贴三角带止口*4	0.60	100			中烫
5950	整烫裤脚	0.20	100			中烫
5953	烫前贴止口*4	0.40	100			中烫
5966	烫肩装饰条*2	0.20	100			中烫
6031	烫袖夹止口*4	0.30	100			中烫
6047	整烫耳袢*2	0.12	100			中烫
6059	烫拉链贴朴	0.06	100			中烫
6126	整烫花瓣*6	0.60	100			中烫
6161	中烫前幅开骨	0.50	100			中烫
6175	烫门边朴*2	0.20	100			中烫
6176	烫中腰隧道贴	0.15	100			中烫
6180	烫硬网朴*2修剪	0.30	100			中烫
6182	烫后背（整烫后打揽）	0.10	100			中烫
6196	烫门筒止口*4	0.60	100			中烫
6224	烫脚口止口*2	0.26	100			中烫
6236	整烫打折条	0.15	100			中烫
6258	烫袖口朴*4	0.24	100			中烫
6340	整烫袖顶*2	0.15	100			中烫
6496	拉筒烫撞布止口*3	0.30	100			中烫
6497	烫袖口撞布*6	0.45	100			中烫
6500	烫袖口撞布*2	0.15	100			中烫
6504	烫脚口撞布*2	0.15	100			中烫
6509	烫折位*2	0.15	100			中烫
6538	烫下脚胶朴*2	0.16	100			中烫
6567	烫下摆撞布止口*3	0.60	100			中烫
6573	烫折位*4	0.30	100			中烫
6585	烫侧缝撞布止口*4	0.68	100			中烫
6617	烫前腰止口*4	0.24	100			中烫
6637	烫折	0.25	100			中烫
6656	烫钮门位朴*5	0.20	100			中烫
6661	中腰开骨	0.18	100			中烫
6686	烫袖贴朴*2烫袖贴止口*2	0.27	100			中烫
6687	烫下脚贴朴*3	0.15	100			中烫
6690	烫鸡眼朴*2	0.10	100			中烫
6735	烫袋唇朴	0.05	100			中烫
6738	烫装饰捆条	0.30	100			中烫
6773	整烫花瓣*14	0.85	100			中烫
6803	烫领朴	0.25	100			中烫
6996	特殊装饰	0.80	100			中烫
7114	烫口袋实样*2	0.20	100			中烫
7184	束腰条	0.60	100			中烫
7424	贴烫前后夹弯朴*8	0.32	100			中烫
7502	中烫整烫袖口*1	0.20	100			中烫
7569	中烫整烫蝴蝶结*1	0.12	100			中烫
7633	中烫袖开骨*4	0.30	100			中烫
7634	中烫后中、后侧开骨*3	0.24	100			中烫
7635	中烫肩、侧骨开骨*4	0.30	100			中烫
7636	中烫袖口、下脚*3	0.40	100			中烫
1150	里布长袖袖底*2	0.45	100			五线拼缝
1288	五线上圆袖*2	0.60	100			五线拼缝
1618	五线驳裙后下节分割*2	0.36	100			五线拼缝
1695	五线中裙面布下节侧*2	0.40	100			五线拼缝
1829	五线裙下后中	0.30	100			五线拼缝
1970	五线中节侧缝*2落洗水唛*1	0.40	100			五线拼缝
2134	XH628五线	0.89	100			五线拼缝
2183	XH638五线	1.70	100			五线拼缝
2622	五线短袖底缝*2	0.20	100			五线拼缝
2853	五线后中留拉链位打散口	0.34	100			五线拼缝
2854	五线驳后担干	0.20	100			五线拼缝
3455	五线埋袖底缝*2	0.24	100			五线拼缝
