AL136	2	0	纽扣	前幅纽扣需要配色的圆形普通纽扣即可	1560402
AL136	2	0	补丁面料	马业纺织 14W无外弹销 290-300G A211-勃艮第红	1560403
AL136	2	0	贴袋条纹面料	普通尼龙橡筋 黑色 参考附图	1560404
AL136	2	0	束脚绳	裤脚口束脚绳 参考样式图	1560405
AL136	2	0	主唛	见样式图， 车左侧口袋贴合处	1560406
AL136	2	0	洗水唛	见样式图，正常车法	1560407
AL136	2	0	吊牌	无	1560408
AL136	3	1			1560409
AL136	3	0	包装袋	无	1560410
AL136	4	1			1560411
AL136	4	0	第五次样板修改意见-尺寸	尺寸表严格遵循客户提供的 上次S码样板腰围大了2cm 其余尺寸建议在1cm误差内最好	1560412
AL136	4	0	钮门开口	外厂做好 需要干净的走线	1560413
AL136	4	0	前幅粘衬材料	当前问题：粘衬过硬，影响扣合及穿着舒适度  改进措施：  更换为更柔软的粘衬材料  目标：提升舒适性及操作性（易扣合）	1560414
AL136	4	0	后腰下拉问题（版型调整）	问题表现：活动（抬腿）时后腰明显下拉  原因分析：腰围及前后浪比例不平衡  改进措施：  调整腰围尺寸需要和客户确认  优化前后浪深度  目标：改善穿着稳定性与版型平衡	1560415
AL136	4	0	Logo	不做LOGO 只做空白版修改好版型快速给客户修改版型 下大货	1560416
AL160	1	1			1559640
AL160	1	0	前幅左臂印花	Logo尺寸：宽8cm高随比例调节 Logo位置：肩下12cm	1559641
AL160	2	1			1559642
AL160	2	0	面料	色卡-耀辉纺织 H2128 10莫代尔20粘胶70细旦抗皱 170Gsm 色号-No.74 黑色	1559643
AL160	2	0	辅料纽扣	保留上次的样板纽扣 不变	1559644
AL160	2	0	主唛	无	1559645
AL160	2	0	洗水唛	无	1559646
AL160	2	0	吊牌	无	1559647
